,Respondent,DatabaseDesireNextYear
0,4,MySQL
0,4,SQLite
1,9,PostgreSQL
1,9,Redis
1,9,SQLite
2,13,Firebase
2,13,MySQL
2,13,Redis
3,17,Elasticsearch
3,17,Firebase
3,17,MongoDB
3,17,PostgreSQL
4,19,DynamoDB
5,20,Elasticsearch
5,20,MariaDB
5,20,MongoDB
5,20,Microsoft SQL Server
6,22,Elasticsearch
6,22,MySQL
6,22,Oracle
6,22,Redis
7,23,Couchbase
7,23,DynamoDB
7,23,Elasticsearch
7,23,Firebase
7,23,Oracle
8,24,
9,25,MySQL
10,26,Microsoft SQL Server
10,26,MySQL
10,26,Redis
10,26,SQLite
11,29,PostgreSQL
11,29,SQLite
12,38,Microsoft SQL Server
13,39,Microsoft SQL Server
13,39,PostgreSQL
13,39,Redis
13,39,SQLite
14,43,Firebase
15,44,Other(s):
16,49,Cassandra
16,49,DynamoDB
16,49,Elasticsearch
16,49,MariaDB
16,49,MongoDB
16,49,PostgreSQL
17,50,Firebase
17,50,PostgreSQL
17,50,Redis
17,50,Other(s):
18,53,DynamoDB
18,53,MySQL
18,53,PostgreSQL
18,53,Redis
19,54,DynamoDB
19,54,Elasticsearch
19,54,Firebase
19,54,SQLite
20,56,Cassandra
20,56,DynamoDB
20,56,Elasticsearch
20,56,MariaDB
20,56,MongoDB
20,56,Redis
21,57,DynamoDB
21,57,Firebase
21,57,MongoDB
21,57,Redis
22,60,Elasticsearch
22,60,MySQL
22,60,PostgreSQL
22,60,Redis
23,61,PostgreSQL
24,62,MariaDB
24,62,MySQL
24,62,Oracle
24,62,PostgreSQL
24,62,SQLite
25,67,Elasticsearch
25,67,MongoDB
25,67,Redis
26,68,DynamoDB
26,68,Elasticsearch
26,68,Firebase
26,68,Redis
27,70,Microsoft SQL Server
27,70,SQLite
28,71,DynamoDB
28,71,MySQL
28,71,Redis
29,74,DynamoDB
30,75,Elasticsearch
30,75,Firebase
30,75,MongoDB
31,76,
32,78,MongoDB
33,80,Couchbase
33,80,MariaDB
33,80,MongoDB
34,83,Cassandra
34,83,DynamoDB
34,83,MongoDB
34,83,MySQL
34,83,Redis
35,84,Firebase
35,84,MySQL
35,84,Oracle
35,84,SQLite
36,86,Elasticsearch
36,86,MariaDB
36,86,MongoDB
36,86,MySQL
36,86,Redis
36,86,SQLite
37,87,
38,90,Elasticsearch
38,90,MySQL
38,90,PostgreSQL
38,90,Redis
39,92,PostgreSQL
40,94,Microsoft SQL Server
41,95,Redis
42,97,Other(s):
43,104,Couchbase
44,109,Elasticsearch
44,109,MongoDB
44,109,MySQL
45,110,Cassandra
45,110,Elasticsearch
45,110,Other(s):
46,111,Microsoft SQL Server
46,111,Oracle
47,114,MongoDB
47,114,Redis
48,115,Firebase
48,115,MongoDB
48,115,SQLite
49,116,Elasticsearch
49,116,PostgreSQL
50,117,
51,118,SQLite
52,119,Firebase
52,119,MongoDB
52,119,Microsoft SQL Server
52,119,MySQL
52,119,SQLite
53,120,
54,124,MySQL
54,124,Oracle
55,126,Microsoft SQL Server
55,126,PostgreSQL
56,129,Couchbase
56,129,MongoDB
57,130,PostgreSQL
57,130,Redis
57,130,SQLite
58,135,PostgreSQL
59,139,MariaDB
59,139,MySQL
59,139,PostgreSQL
60,140,Couchbase
60,140,DynamoDB
60,140,Elasticsearch
60,140,Firebase
60,140,MariaDB
