,Respondent,DatabaseWorkedWith
0,4,MySQL
0,4,SQLite
1,9,DynamoDB
1,9,PostgreSQL
1,9,SQLite
2,13,Couchbase
2,13,DynamoDB
2,13,Firebase
2,13,MySQL
3,17,MongoDB
3,17,PostgreSQL
4,19,DynamoDB
4,19,Firebase
4,19,Microsoft SQL Server
4,19,MySQL
4,19,SQLite
5,20,Elasticsearch
5,20,MariaDB
5,20,MongoDB
5,20,Microsoft SQL Server
6,22,Elasticsearch
6,22,MySQL
6,22,Oracle
6,22,Redis
7,23,Oracle
7,23,SQLite
8,24,Firebase
8,24,MongoDB
8,24,MySQL
9,25,MySQL
10,26,Microsoft SQL Server
10,26,MySQL
10,26,Redis
10,26,SQLite
11,29,Firebase
11,29,MongoDB
11,29,MySQL
12,38,Microsoft SQL Server
13,39,Microsoft SQL Server
13,39,PostgreSQL
13,39,Redis
13,39,SQLite
14,43,Firebase
14,43,MySQL
14,43,Oracle
14,43,SQLite
15,44,Oracle
15,44,Other(s):
16,49,Cassandra
16,49,DynamoDB
16,49,Elasticsearch
16,49,MariaDB
16,49,MongoDB
16,49,PostgreSQL
17,50,Elasticsearch
17,50,Firebase
17,50,MariaDB
17,50,MongoDB
17,50,MySQL
17,50,Oracle
17,50,SQLite
17,50,Other(s):
18,53,DynamoDB
18,53,MySQL
18,53,Oracle
18,53,Redis
19,54,Elasticsearch
19,54,Firebase
19,54,PostgreSQL
19,54,SQLite
20,56,MySQL
20,56,Oracle
21,57,Firebase
21,57,MongoDB
22,60,DynamoDB
22,60,Elasticsearch
22,60,MariaDB
22,60,MySQL
22,60,Redis
22,60,Other(s):
23,61,Firebase
23,61,Microsoft SQL Server
23,61,MySQL
23,61,Redis
23,61,SQLite
24,62,MariaDB
24,62,Microsoft SQL Server
24,62,MySQL
24,62,Oracle
24,62,PostgreSQL
25,67,DynamoDB
25,67,Microsoft SQL Server
25,67,MySQL
25,67,PostgreSQL
26,68,Elasticsearch
26,68,Firebase
27,70,Microsoft SQL Server
28,71,MariaDB
28,71,MySQL
29,74,DynamoDB
30,75,MongoDB
31,76,MariaDB
31,76,MySQL
32,78,MongoDB
33,80,MongoDB
33,80,Microsoft SQL Server
34,83,DynamoDB
34,83,Elasticsearch
34,83,MongoDB
35,84,Firebase
35,84,MySQL
35,84,SQLite
36,86,MariaDB
36,86,MongoDB
36,86,Microsoft SQL Server
36,86,MySQL
36,86,Redis
36,86,SQLite
37,87,Microsoft SQL Server
38,90,DynamoDB
38,90,Firebase
38,90,MySQL
38,90,SQLite
39,92,PostgreSQL
40,94,Microsoft SQL Server
41,95,Microsoft SQL Server
41,95,PostgreSQL
42,97,Other(s):
43,104,Microsoft SQL Server
44,109,MongoDB
44,109,MySQL
44,109,Oracle
45,110,Cassandra
45,110,Other(s):
46,111,Microsoft SQL Server
46,111,Oracle
47,114,MySQL
47,114,Redis
47,114,Other(s):
48,115,Firebase
48,115,MongoDB
48,115,Microsoft SQL Server
48,115,MySQL
49,116,Elasticsearch
49,116,PostgreSQL
50,117,Microsoft SQL Server
51,118,SQLite
52,119,Firebase
52,119,Microsoft SQL Server
52,119,MySQL
52,119,SQLite
53,120,MongoDB
53,120,PostgreSQL
54,124,MySQL
54,124,Oracle
55,126,Microsoft SQL Server
56,129,MySQL
57,130,MySQL
57,130,PostgreSQL
57,130,Redis
57,130,SQLite
