,Respondent,LanguageDesireNextYear
0,4,C
0,4,C#
0,4,JavaScript
0,4,SQL
1,9,Bash/Shell/PowerShell
1,9,C
1,9,HTML/CSS
1,9,JavaScript
1,9,Ruby
1,9,Rust
1,9,SQL
1,9,TypeScript
1,9,WebAssembly
1,9,Other(s):
2,13,Bash/Shell/PowerShell
2,13,HTML/CSS
2,13,JavaScript
2,13,Rust
2,13,SQL
2,13,TypeScript
2,13,WebAssembly
3,17,Bash/Shell/PowerShell
3,17,HTML/CSS
3,17,Java
3,17,JavaScript
3,17,TypeScript
3,17,WebAssembly
4,19,HTML/CSS
4,19,JavaScript
5,20,Bash/Shell/PowerShell
5,20,C#
5,20,HTML/CSS
5,20,Java
5,20,JavaScript
5,20,PHP
5,20,Python
5,20,R
5,20,SQL
6,22,Bash/Shell/PowerShell
6,22,C++
6,22,HTML/CSS
6,22,JavaScript
6,22,Python
6,22,Ruby
6,22,SQL
6,22,TypeScript
7,23,Bash/Shell/PowerShell
7,23,Go
7,23,HTML/CSS
7,23,Java
7,23,JavaScript
7,23,Kotlin
7,23,Objective-C
7,23,Python
7,23,Ruby
7,23,SQL
7,23,Swift
7,23,TypeScript
8,24,Go
9,25,HTML/CSS
9,25,JavaScript
9,25,PHP
9,25,SQL
9,25,TypeScript
10,26,C#
10,26,HTML/CSS
10,26,JavaScript
10,26,Objective-C
10,26,Ruby
10,26,SQL
10,26,Swift
10,26,TypeScript
10,26,WebAssembly
11,29,Bash/Shell/PowerShell
11,29,Clojure
11,29,JavaScript
11,29,Python
11,29,R
11,29,TypeScript
12,38,C#
12,38,HTML/CSS
12,38,JavaScript
12,38,SQL
13,39,C#
13,39,F#
13,39,SQL
13,39,TypeScript
14,43,C#
14,43,HTML/CSS
14,43,Objective-C
15,44,C#
16,49,Bash/Shell/PowerShell
16,49,HTML/CSS
16,49,Java
16,49,JavaScript
16,49,Kotlin
16,49,Python
16,49,SQL
16,49,TypeScript
17,50,HTML/CSS
17,50,JavaScript
17,50,Python
18,53,Bash/Shell/PowerShell
18,53,HTML/CSS
18,53,Java
18,53,JavaScript
18,53,SQL
18,53,TypeScript
19,54,Bash/Shell/PowerShell
19,54,HTML/CSS
19,54,JavaScript
19,54,Python
20,56,Java
20,56,JavaScript
20,56,Kotlin
20,56,Python
20,56,Scala
20,56,TypeScript
21,57,Elixir
21,57,JavaScript
21,57,Python
21,57,TypeScript
22,60,Bash/Shell/PowerShell
22,60,C++
22,60,Go
22,60,Kotlin
22,60,Python
22,60,TypeScript
23,61,Go
24,62,Bash/Shell/PowerShell
24,62,C
24,62,C++
24,62,C#
24,62,HTML/CSS
24,62,Java
24,62,JavaScript
24,62,PHP
24,62,Python
24,62,Ruby
24,62,SQL
24,62,Swift
25,67,C#
25,67,HTML/CSS
25,67,R
25,67,Rust
25,67,TypeScript
26,68,Elixir
26,68,Go
26,68,HTML/CSS
26,68,Java
26,68,JavaScript
26,68,Kotlin
26,68,Python
26,68,R
26,68,Scala
26,68,TypeScript
26,68,WebAssembly
27,70,C#
27,70,HTML/CSS
27,70,JavaScript
27,70,Python
27,70,SQL
27,70,TypeScript
28,71,C#
28,71,HTML/CSS
28,71,JavaScript
28,71,PHP
28,71,Ruby
28,71,SQL
29,74,Java
