,Respondent,LanguageWorkedWith
0,4,C
0,4,C++
0,4,C#
0,4,Python
0,4,SQL
1,9,Bash/Shell/PowerShell
1,9,C#
1,9,HTML/CSS
1,9,JavaScript
1,9,Python
1,9,Ruby
1,9,Rust
1,9,SQL
1,9,TypeScript
1,9,WebAssembly
1,9,Other(s):
2,13,Bash/Shell/PowerShell
2,13,HTML/CSS
2,13,JavaScript
2,13,PHP
2,13,SQL
2,13,TypeScript
3,17,Bash/Shell/PowerShell
3,17,HTML/CSS
3,17,JavaScript
3,17,TypeScript
4,19,C#
4,19,HTML/CSS
4,19,Java
4,19,JavaScript
4,19,SQL
4,19,TypeScript
5,20,Bash/Shell/PowerShell
5,20,C#
5,20,HTML/CSS
5,20,Java
5,20,JavaScript
5,20,PHP
5,20,Python
5,20,R
5,20,SQL
6,22,Bash/Shell/PowerShell
6,22,C++
6,22,HTML/CSS
6,22,JavaScript
6,22,Python
6,22,Ruby
6,22,SQL
6,22,TypeScript
7,23,Bash/Shell/PowerShell
7,23,HTML/CSS
7,23,JavaScript
7,23,Python
7,23,Ruby
7,23,SQL
8,24,HTML/CSS
8,24,JavaScript
8,24,PHP
8,24,TypeScript
9,25,HTML/CSS
9,25,JavaScript
9,25,PHP
9,25,SQL
9,25,TypeScript
10,26,Bash/Shell/PowerShell
10,26,C++
10,26,C#
10,26,HTML/CSS
10,26,JavaScript
10,26,PHP
10,26,Python
10,26,Ruby
10,26,SQL
10,26,Swift
10,26,TypeScript
10,26,VBA
11,29,Bash/Shell/PowerShell
11,29,JavaScript
11,29,SQL
12,38,C#
12,38,HTML/CSS
12,38,JavaScript
12,38,SQL
13,39,C#
13,39,JavaScript
13,39,SQL
13,39,TypeScript
14,43,C++
14,43,C#
14,43,HTML/CSS
14,43,Java
14,43,JavaScript
14,43,Objective-C
14,43,SQL
15,44,Bash/Shell/PowerShell
15,44,C#
15,44,HTML/CSS
15,44,Java
15,44,JavaScript
15,44,SQL
15,44,TypeScript
15,44,WebAssembly
16,49,Bash/Shell/PowerShell
16,49,HTML/CSS
16,49,Java
16,49,JavaScript
16,49,PHP
16,49,Python
16,49,SQL
16,49,TypeScript
17,50,Bash/Shell/PowerShell
17,50,C
17,50,C++
17,50,HTML/CSS
17,50,Java
17,50,JavaScript
17,50,PHP
17,50,Python
17,50,SQL
18,53,Bash/Shell/PowerShell
18,53,HTML/CSS
18,53,Java
18,53,JavaScript
18,53,PHP
18,53,SQL
18,53,TypeScript
19,54,Bash/Shell/PowerShell
19,54,HTML/CSS
19,54,JavaScript
19,54,Python
20,56,Bash/Shell/PowerShell
20,56,HTML/CSS
20,56,Java
20,56,SQL
21,57,JavaScript
21,57,Python
22,60,Bash/Shell/PowerShell
22,60,Go
22,60,JavaScript
22,60,PHP
22,60,Python
22,60,Ruby
22,60,SQL
23,61,C++
23,61,C#
23,61,HTML/CSS
23,61,JavaScript
23,61,PHP
23,61,Python
23,61,SQL
23,61,VBA
24,62,Bash/Shell/PowerShell
24,62,C++
24,62,Go
24,62,HTML/CSS
24,62,Java
24,62,JavaScript
24,62,Kotlin
24,62,PHP
24,62,Python
24,62,Ruby
24,62,SQL
24,62,TypeScript
24,62,VBA
25,67,C
25,67,C#
25,67,HTML/CSS
25,67,Java
